Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.143,47.549,48.02,48.618,49.148,49.538,49.876,50.381,50.748,51.08,51.315,51.49,51.688,51.827,51.94,51.939,52.189,52.397,52.669,53.009,53.072,53.455,54.079,54.462,..
Nigeria,NGA,"Population, total",SP.POP.TOTL,126382494,129862595,133471989,137202644,141057045,145017253,149077334,153267261,157595014,162049464,166642886,171379598,176200625,181049443,185896915,190671878,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945,..
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.793658969888662,0.821769347824907,0.725466824353685,0.784874816260829,0.737360547996734,0.71062027357531,0.62268688008601,0.551614215902247,0.583368075337713,0.501455530886545,0.568500715956155,0.609298896826681,0.583423583202386,0.644514548437467,0.663324079369472,0.616825098874833,0.617495984777202,0.594333975254568,0.609462080512785,0.619418110857536,0.570700371517378,0.599378245348772,0.583043144043661,0.561436047791993,..
Nigeria,NGA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,24.7493305206299,27.319450378418,29.9248199462891,..,35.275520324707,35.1121101379395,34.4249801635742,31.5662994384766,34.8519096374512,38.4990310668945,43.3236885070801,44.6314888000488,46.1335983276367,54.8829689025879,44.5147514343262,45.6085815429688,40.9102096557617,..,42.1684494018555,..,45.889949798584,47.2372283935547,..,..,..
Nigeria,NGA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,47.9,..,..,..,..,..,..,34.9,..,33.8,..,..,32.3,..,..,30.9,..,..,..,..,..,..
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0641,0.0899,0.32,0.559,1.29,3.55,5.55,6.77,8,9.3,11.5,13.8,16.1,19.1,21,22.5,24.1,25.9,27.7,29.7,31.9,35.5,37.7,39.2,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
